z_val  mean
0.000000 66.368501
0.020202 67.144213
0.040404 67.941072
0.060606 68.759081
0.080808 69.598229
0.101010 70.458488
0.121212 71.339821
0.141414 72.242171
0.161616 73.165471
0.181818 74.109637
0.202020 75.074571
0.222222 76.060161
0.242424 77.066280
0.262626 78.092785
0.282828 79.139520
0.303030 80.206314
0.323232 81.292981
0.343434 82.399319
0.363636 83.525114
0.383838 84.670135
0.404040 85.834137
0.424242 87.016862
0.444444 88.218036
0.464646 89.437370
0.484848 90.674562
0.505051 91.929296
0.525253 93.201241
0.545455 94.490053
0.565657 95.795374
0.585859 97.116832
0.606061 98.454042
0.626263 99.806605
0.646465 101.174111
0.666667 102.556134
0.686869 103.952238
0.707071 105.361974
0.727273 106.784880
0.747475 108.220483
0.767677 109.668298
0.787879 111.127829
0.808081 112.598567
0.828283 114.079995
0.848485 115.571584
0.868687 117.072795
0.888889 118.583078
0.909091 120.101876
0.929293 121.628619
0.949495 123.162732
0.969697 124.703630
0.989899 126.250718
1.010101 127.803396
1.030303 129.361054
1.050505 130.923077
1.070707 132.488843
1.090909 134.057721
1.111111 135.629078
1.131313 137.202273
1.151515 138.776661
1.171717 140.351591
1.191919 141.926409
1.212121 143.500456
1.232323 145.073072
1.252525 146.643591
1.272727 148.211345
1.292929 149.775666
1.313131 151.335883
1.333333 152.891322
1.353535 154.441310
1.373737 155.985174
1.393939 157.522240
1.414141 159.051835
1.434343 160.573287
1.454545 162.085925
1.474747 163.589079
1.494949 165.082083
1.515152 166.564272
1.535354 168.034987
1.555556 169.493569
1.575758 170.939364
1.595960 172.371724
1.616162 173.790004
1.636364 175.193566
1.656566 176.581775
1.676768 177.954005
1.696970 179.309635
1.717172 180.648051
1.737374 181.968647
1.757576 183.270822
1.777778 184.553987
1.797980 185.817560
1.818182 187.060965
1.838384 188.283639
1.858586 189.485028
1.878788 190.664585
1.898990 191.821775
1.919192 192.956076
1.939394 194.066972
1.959596 195.153962
1.979798 196.216555
2.000000 197.254272
