# z 	 DM_ext
0.591655	792.949795
0.431792	362.933988
0.256573	227.671357
0.538026	473.088192
0.622510	902.471092
0.624953	929.959713
0.646974	639.451070
0.618510	732.634028
0.065039	33.198053
0.433344	441.929590
0.602447	706.883940
0.426698	399.265306
0.525979	471.534802
0.527779	48.336604
0.426109	585.719173
0.630281	936.062407
0.487267	859.943374
0.471174	614.094979
0.659241	711.361700
0.483252	394.040552
0.319960	840.568290
0.491292	590.301213
0.600949	747.112683
0.588511	723.213621
0.592461	826.438782
0.564780	138.998442
0.367980	264.340235
0.616693	723.453315
0.626770	921.831352
0.330731	419.633333
0.283495	259.619126
0.652521	605.416964
0.618710	785.554599
0.626704	784.393481
0.624512	708.781365
0.502794	410.266758
0.542669	837.410428
0.504251	560.439139
0.199679	315.149867
0.577818	452.796102
0.488131	426.124309
0.543148	785.824543
0.487025	199.396127
0.482551	514.682190
0.315286	348.557189
0.381811	500.241483
0.305844	225.612039
0.331741	227.527876
0.651711	1007.672198
0.301518	337.530836
0.376557	179.198432
0.521816	380.948951
0.529233	1127.684477
0.302173	183.818000
0.594184	679.085288
0.591325	575.074886
0.358024	565.369587
0.387248	514.661762
0.640843	719.812218
0.604801	161.760148
0.561171	824.639726
0.238037	227.593557
0.450819	740.453615
0.509734	534.460275
0.326183	417.889017
0.464048	220.636853
0.525781	665.597545
0.407528	371.190071
0.589891	530.936504
0.609653	396.518016
0.405610	246.807979
0.609066	445.543571
0.259646	225.532680
0.608762	880.655494
0.301242	259.928798
0.238787	322.876606
0.540972	287.763907
0.474216	555.512973
0.631365	667.946453
0.425226	786.217469
0.386427	565.828087
0.486241	477.921910
0.467386	613.765984
0.416070	281.565935
0.559733	629.373053
0.582635	329.866062
0.613740	560.591145
0.651674	520.864797
0.375086	489.957317
0.567612	580.228007
0.439883	584.241156
0.553788	591.481110
0.475925	243.593254
0.658098	850.569700
0.572079	778.323323
0.645367	956.248668
0.607858	674.552069
0.629781	796.955003
0.601082	761.914419
0.468767	299.036050
0.366570	212.786887
0.428644	183.807534
0.142671	110.512435
0.495717	513.766599
0.488018	1036.883616
0.496224	488.781219
0.652036	799.344186
0.632493	758.968764
0.307967	191.765913
0.427957	167.000524
0.453367	484.415598
0.423945	528.786678
0.595783	1212.447891
0.495735	442.150162
0.514713	780.172545
0.613750	573.081846
0.598262	714.954279
0.284952	335.897188
0.566849	272.353587
0.458455	223.803645
0.390470	97.145502
0.197966	175.674127
0.480652	618.357164
0.421472	316.816849
0.366410	420.718764
0.560063	467.191159
0.586013	793.092702
0.362470	509.804806
0.197132	307.100447
0.612363	650.536348
0.110972	103.632322
0.640569	843.275108
0.535746	405.720512
0.404709	343.172818
0.363465	224.300033
0.107112	167.970903
0.356914	444.862354
0.289458	352.034018
0.529979	505.334148
0.311508	131.481651
0.497582	775.141580
0.521636	559.436925
0.392282	362.581222
0.173895	220.329390
0.177761	111.872108
0.156831	69.389334
0.575619	552.401984
0.402739	292.643497
0.595049	490.715144
0.456821	702.747888
0.466114	506.019945
0.491216	493.347970
0.566539	681.785310
0.378924	663.658131
0.275964	131.350714
0.508463	707.056770
0.407325	459.863264
0.461550	286.101474
0.542869	483.757091
0.483511	485.156916
0.533015	657.481095
0.503791	390.565209
0.575851	621.170277
0.564045	677.633196
0.499809	488.266664
0.554441	812.025223
0.620397	875.773943
0.457059	452.031742
0.448341	812.277169
0.584232	328.934442
0.518742	75.775814
0.225341	201.235219
0.626345	708.140767
0.165883	221.404168
0.578812	605.682780
0.582373	368.307169
0.645559	478.868577
0.203806	346.316378
0.524201	753.820257
0.455096	601.577189
0.409176	492.417281
0.246565	297.861185
0.511043	379.996403
0.477214	459.907153
0.260572	338.801500
0.530100	576.955916
0.575215	181.875294
0.585264	937.476116
0.630566	884.599882
0.446850	341.145116
0.645548	729.054837
0.617775	985.176517
0.391461	187.105958
0.306165	310.935595
0.458434	449.827461
0.443398	414.787944
0.516112	714.542622
0.519061	479.655479
0.579359	326.969285
0.489996	239.202655
0.260825	68.020478
0.615464	599.502974
0.398463	510.739043
0.651193	517.361670
0.272706	329.973894
0.647156	777.862316
0.247276	179.368448
0.354228	434.213606
0.192861	292.441576
0.563755	576.358425
0.612867	568.259297
0.457854	522.683273
0.637875	1111.771381
0.521706	507.331520
0.536631	500.601900
0.611276	621.423476
0.391620	167.748472
0.420902	466.054763
0.630750	592.474784
0.629165	418.593825
0.652791	662.891042
0.629443	152.695795
0.280910	260.545618
0.604159	409.190412
0.447017	138.772669
0.657188	873.990921
0.474361	756.982388
0.507592	366.057832
0.498042	540.936013
0.404653	315.986811
0.230008	231.993397
0.627474	622.020063
0.597178	561.156095
0.290906	378.816906
0.588480	388.249888
0.535087	286.287420
0.446701	588.326599
0.367866	447.640569
0.615930	653.314773
0.562017	563.790198
0.505191	516.448001
0.529004	509.385190
0.247331	216.579292
0.475055	491.802613
0.330429	352.488172
0.340060	432.183208
0.548099	716.412889
0.632431	587.779696
0.444248	443.576404
0.339652	301.226987
0.543527	590.831133
0.619633	629.190177
0.578786	837.288602
0.618850	756.547955
0.500753	762.736807
0.580007	712.562992
0.291337	583.540708
0.417968	520.284775
0.437699	764.973647
0.490569	317.698328
0.638049	322.188471
0.620635	686.740870
0.286855	612.262790
0.316000	290.468517
0.422543	305.008167
0.388371	441.390238
0.530956	729.542071
0.629742	558.402239
0.648408	786.329665
0.545299	960.193552
0.608903	918.801856
0.496204	426.309120
0.340024	311.209008
0.495997	449.444522
0.508081	470.845875
0.576769	345.106716
0.347350	475.912705
0.427684	387.983415
0.425629	656.989241
0.647524	992.793581
0.462184	137.120234
0.581109	1067.737675
0.579641	721.837651
0.374458	386.481655
0.514624	480.774096
0.627044	662.005754
0.475594	409.464002
0.643070	741.543600
0.343937	156.620815
0.229018	275.358617
0.626135	548.714673
0.612014	222.718210
0.657736	714.061109
0.554617	616.515747
0.640436	644.220769
0.605222	335.062210
0.610952	884.284244
0.513566	592.137963
0.434342	246.142116
0.639769	677.420784
0.456991	475.054837
0.501655	230.876456
0.463130	541.352257
0.511886	716.518117
0.473608	620.644408
0.194947	118.104362
0.623125	873.384801
0.462380	400.058233
0.521188	882.407578
0.290634	104.358594
0.076194	141.340448
0.362765	419.730352
0.563569	455.677257
0.255435	366.037596
0.631680	723.144418
0.344294	54.337005
0.337610	384.906911
0.322126	340.491454
0.125088	87.610200
0.586800	1222.307178
0.620872	910.144511
0.530728	441.809159
0.326719	347.841493
0.385408	333.901709
0.475902	640.456535
0.645943	975.788762
0.363978	311.176425
0.573031	778.674892
0.460218	477.666846
0.392179	368.654795
0.467373	758.469252
0.225576	232.692074
0.595847	597.213332
0.361591	458.508835
0.570865	504.201738
0.222165	181.257298
0.646177	1027.007150
0.329970	421.630989
0.623348	841.338420
0.599441	501.192843
0.650131	711.082459
0.476730	838.384958
0.571556	513.442802
0.428830	287.325523
0.324100	341.689334
0.461805	424.216873
0.310928	173.555482
0.654502	935.322880
0.252542	580.191722
0.521291	575.298646
0.535316	696.959239
0.501360	729.221939
0.548418	667.328992
0.271219	62.842832
0.508056	345.548713
0.386460	170.646574
0.641527	184.391495
0.583491	509.414092
0.651568	618.024459
0.178284	124.170182
0.385329	164.758268
0.331578	349.203710
0.115488	79.204765
0.361012	504.366806
0.554396	111.041307
0.354260	531.553642
0.489633	826.525406
0.624973	759.699539
0.559739	708.675833
0.440054	726.969239
0.429667	319.692834
0.467295	948.849477
0.319008	457.717920
0.538108	692.396127
0.425690	383.239133
0.613539	669.032411
0.581607	675.885982
0.529358	626.675923
0.425714	539.237933
0.341054	142.499798
0.588272	551.631280
0.480301	462.201424
0.350374	263.998587
0.331413	214.684291
0.310674	166.822491
0.588613	538.030517
0.352978	357.718941
0.496784	227.671475
0.465487	788.494017
0.517611	679.977177
0.621554	770.572618
0.618523	455.684092
0.465283	535.737084
0.129346	164.208943
0.454475	848.149327
0.527733	673.943131
0.509133	568.753956
0.544473	778.833684
0.302250	175.294277
0.542718	166.597602
0.322917	408.829012
0.579543	361.028217
0.413418	246.651991
0.565438	722.739767
0.194795	140.235207
