# z_cadidates 	 DM_IGM_candidates 	 sigma_dm
0.520407	578.247337	160.314230
0.178350	163.707920	77.528812
0.254416	115.479572	45.789189
0.235870	69.538807	28.636562
0.562110	296.877283	79.194734
0.070124	52.585295	39.715586
0.263349	14.184359	5.528074
0.408226	324.260684	101.501850
0.128955	113.685934	63.316607
0.136079	54.995494	29.816835
0.129482	243.873101	135.546777
0.054643	29.187728	24.972557
0.398431	451.320737	143.000884
0.275046	397.807312	151.705068
0.142605	69.709183	36.919228
0.023279	52.939273	69.394621
0.173146	57.425484	27.601230
0.033177	34.482174	37.862220
0.167592	27.595641	13.481675
0.279910	305.824383	115.609333
0.138112	351.075951	188.936284
0.227319	343.863085	144.243975
0.107641	79.525574	48.478363
0.138966	158.138831	84.842653
0.323224	288.786023	101.590797
0.017362	7.060568	10.716914
0.007535	14.924067	34.385517
0.310522	147.962608	53.105046
0.059929	49.087595	40.103588
0.165596	205.657246	101.076243
0.210105	137.552294	60.017740
0.146036	82.661682	43.261769
0.280622	354.222842	133.735191
0.142915	202.887202	107.336083
0.714411	563.150033	133.253935
0.058071	18.387881	15.260966
0.183155	204.977232	95.791336
0.117619	59.734535	34.835074
0.025100	27.331308	34.502737
0.185022	52.463869	24.393753
0.849813	1029.305485	223.312276
0.312430	85.502886	30.593869
0.309611	364.158597	130.891779
0.051515	35.368259	31.165696
0.314684	205.804949	73.375062
0.491452	754.956189	215.382886
0.415336	530.336060	164.581632
0.250071	171.079940	68.422261
0.029966	19.099291	22.066469
0.389570	446.483701	143.068114
0.132268	226.894767	124.774857
0.427009	427.097128	130.718824
0.770427	608.796839	138.719220
0.036010	36.556167	38.528233
0.274532	57.773846	22.052853
0.090298	160.492017	106.817981
0.087243	145.453564	98.489304
0.302172	221.483060	80.582994
0.155571	26.804338	13.591605
0.545793	667.420239	180.682207
0.111038	230.799649	138.525372
0.330864	277.778706	96.583778
0.281564	335.862137	126.590898
0.456928	335.396449	99.234931
0.291764	141.645063	52.446388
0.094786	102.326346	66.473013
0.089086	12.452115	8.343887
0.221843	166.827602	70.839427
0.148814	183.900370	95.343415
0.519122	635.808428	176.490592
0.076070	97.325581	70.574903
0.380161	362.320667	117.527452
0.099700	33.209262	21.034958
0.192282	170.113693	77.588964
0.332227	246.202867	85.429062
0.084203	31.251798	21.539778
0.209985	85.444779	37.292491
0.805532	663.352447	147.819910
0.909776	1147.242415	240.556974
0.139984	173.459176	92.723128
0.373656	597.363684	195.448721
0.403835	319.812618	100.652279
0.192296	212.943367	97.120070
0.975817	780.723038	158.067579
0.251600	206.365303	82.283235
0.319389	251.463644	88.990823
0.135090	58.941229	32.072852
0.050355	61.188696	54.535575
0.279314	392.599979	148.570955
0.216740	416.453606	178.906899
0.505637	724.889310	203.883588
0.251067	272.932448	108.940747
0.147774	50.650659	26.352152
0.436042	445.778712	135.015976
0.051293	77.124095	68.106886
0.082885	141.231592	98.112395
0.094402	12.630079	8.221394
0.368260	374.960757	123.577253
0.294915	213.447395	78.609027
0.300371	296.093574	108.051295
0.420558	553.853322	170.809417
0.131960	65.651361	36.145362
0.023724	29.360333	38.123873
0.644665	772.372313	192.393168
0.207405	60.944311	26.764156
0.253269	314.946047	125.162762
0.294344	410.965263	151.498215
0.320689	282.661473	99.828508
0.528838	401.230334	110.347482
0.060850	1.160073	0.940557
0.388834	398.478782	127.806541
0.045059	68.619286	64.652514
0.277342	320.284873	121.635012
1.342493	1646.137945	284.145123
0.329756	448.668251	156.264016
0.168225	373.592097	182.172328
0.378531	417.626414	135.758562
0.090454	178.452756	118.669569
0.287151	120.899137	45.123007
0.356903	206.823586	69.239665
0.512222	690.333622	192.912295
0.046733	30.220216	27.958620
0.412440	403.413526	125.631939
0.419859	405.025445	125.014552
0.454117	428.134610	127.065150
