FRB          Redshift  DM_obs  Error+    Error-
20220207C    0.04304  262.38  0.01     -0.01
20220307B    0.248123 499.27  0.06     -0.06
20220310F    0.477958 462.24  0.005    -0.005
20220418A    0.622    623.25  0.01     -0.01
20220506D    0.30039  396.97  0.02     -0.02
20220509G    0.0894   269.53  0.02     -0.02
20220825A    0.241397 651.24  0.06     -0.06
20220914A    0.1139   631.28  0.04     -0.04
20220920A    0.158239 314.99  0.01     -0.01
20221012A    0.284669 441.08  0.7      -0.7
20220912A    0.0771   219.46  0.042    -0.042
20210117A    0.214    729.1   0.36     -0.23
20181220A    0.02746  208.66  1.62     -1.62
20181223C    0.03024  111.61  1.62     -1.62
20190418A    0.07132  182.78  1.62     -1.62
20190425A    0.03122  127.78  1.62     -1.62
20220610A    1.016    1458.15 0.25     -0.55
20171020A    0.008672 114.1   0.2      -0.2
20121102A    0.1927   557     2        -2
20180301A    0.3304   536     8        -13
20180916B    0.0337   347.8   0.0058   -0.0058
20180924B    0.3212   362.42  0.06     -0.06
20181112A    0.4755   589.27  0.03     -0.03
20190102C    0.2912   363.6   0.3      -0.3
20190520B    0.2414   1201    10       -10
20190608B    0.1178   338.7   0.5      -0.5
20190611B    0.3778   321.4   0.2      -0.2
20190711A    0.522    593.1   0.4      -0.4
20190714A    0.2365   504.13  2.0      -2.0
20191001A    0.234    506.92  0.04     -0.04
20200430A    0.1608   380.1   0.4      -0.4
20200906A    0.3688   577.8   0.2      -0.2
20201124A    0.0979   415.3   0.63     -0.63
20210320C    0.2797   384.8   0.3      -0.3
20210410D    0.1415   571.2   1.0      -1.0
20210807D    0.1293   251.9   0.2      -0.2
20211127I    0.0469   234.83  0.08     -0.08
20211203C    0.3439   636.2   0.4      -0.4
20211212A    0.0707   206     5        -5
20220105A    0.2785   583     1        -1
20191106C    0.10775  332.2   0.7      -0.7
20200223B    0.06024  201.8   0.4      -0.4
20190110C    0.12244  221.6   1.6      -1.6
20190303A    0.064    223.2   0.017    -0.017
20180814A    0.068    190.9   0.076    -0.076
20210405I    0.066    565.17  0.49     -0.49
20191228A    0.2432   297.5   0.05     -0.05
20181030A    0.00385  103.5   0.3      -0.3
20190523A    0.660    760.8   0.6      -0.6
20190614D    0.600    959.2   5.0      -5.0
